Time	Vr	Ir
0.00033000000000000022	4.3147119398238063e-007	4.1400995816231914e-010
0.00034000000000000024	4.3163491703970436e-007	4.2650988806274687e-010
0.00035000000000000027	4.5675769394156581e-007	4.3900325345783337e-010
0.00036000000000000029	4.5691765153526272e-007	4.5149476596834776e-010
0.00037000000000000032	4.8202640922078949e-007	4.639792375174881e-010
0.00038000000000000035	4.8218210042343568e-007	4.764616444238195e-010
0.00039000000000000037	5.0727634215369364e-007	4.8893685155009924e-010
0.0004000000000000004	5.0742726640475884e-007	5.0140972933577404e-010
0.00041000000000000042	5.325064958189837e-007	5.1387530146227876e-010
0.00042000000000000045	5.3265215294478115e-007	5.2633812073170491e-010
0.00043000000000000048	5.5771587407252091e-007	5.3879321082548736e-010
0.0004400000000000005	5.5785576430528977e-007	5.5124544218307283e-010
0.00045000000000000053	5.8290348159329352e-007	5.636899443650146e-010
0.00046000000000000056	5.8303710558941179e-007	5.7613137605252258e-010
0.00047000000000000058	6.0806832391984488e-007	5.8856454916879483e-010
0.00048000000000000061	6.0819518277891292e-007	6.0099433415327806e-010
0.00049000000000000063	6.3320940748583561e-007	6.1341586056652556e-010
0.00050000000000000066	6.3332900278016584e-007	6.2583357533151042e-010
0.00051000000000000069	6.5832573966514649e-007	6.3824292564614114e-010
0.00052000000000000071	6.584375734458351e-007	6.5064846431250921e-010
0.00053000000000000074	6.8341632881351155e-007	6.630447914955759e-010
0.00054000000000000077	6.8351990363385729e-007	6.7543720115126153e-010
0.00055000000000000079	7.0848018429280498e-007	6.8782050520276418e-010
0.00056000000000000082	7.0857500323779925e-007	7.0019957408953056e-010
0.00057000000000000084	7.3351631652915339e-007	7.1256900797652192e-010
0.00058000000000000087	7.3360188322155174e-007	7.2493410081965861e-010
0.0005900000000000009	7.585237370415594e-007	7.3728945278390186e-010
0.00060000000000000092	7.5859955566356572e-007	7.4964014606693522e-010
0.00061000000000000095	7.8350145847919797e-007	7.6198078083371994e-010
0.00062000000000000098	7.8356703380022014e-007	7.7431654516105794e-010
0.000630000000000001	8.0844849466738626e-007	7.8664193333479208e-010
0.00064000000000000103	8.0850333205357704e-007	7.989623451899611e-010
0.00065000000000000105	8.3336386064227884e-007	8.1127206325417103e-010
0.00066000000000000108	8.3340746608429112e-007	8.2357669912069744e-010
0.00067000000000000111	8.582465726838267e-007	8.3587053531714636e-010
0.00068000000000000113	8.5827845281416169e-007	8.4815833640384608e-010
0.00069000000000000116	8.830956483712889e-007	8.6043544369958673e-010
0.00070000000000000119	8.8311531048337684e-007	8.727068335229334e-010
0.00071000000000000121	9.0791010660404889e-007	8.8496668252237374e-010
0.00072000000000000124	9.0791705866959751e-007	8.9722039053294648e-010
0.00073000000000000126	9.3268896765365658e-007	9.0946308711520492e-010
0.00074000000000000129	9.3268271834173181e-007	9.2169879567564851e-010
0.00075000000000000132	9.5743125319331845e-007	9.3392349280777779e-010
0.00076000000000000134	9.5741131189116187e-007	9.46140884280737e-010
0.00077000000000000137	9.8213598634473497e-007	9.5834662905067147e-010
0.0007800000000000014	9.8210186317337639e-007	9.7054580931526472e-010
0.00079000000000000142	1.0068021917058557e-006	9.8273249584388597e-010
0.00080000000000000145	1.0067533975478695e-006	9.9491198259245555e-010
0.00081000000000000147	1.031428895401189e-006	1.0070791873632899e-009
0.0008200000000000015	1.0313649419110989e-006	1.0192389805958359e-009
0.00083000000000000153	1.0560151251095521e-006	1.0313864918506466e-009
0.00084000000000000155	1.0559355247398571e-006	1.0435259562924584e-009
0.00085000000000000158	1.080559910116119e-006	1.0556527152400614e-009
0.00086000000000000161	1.0804641761259637e-006	1.0677714273746655e-009
0.00087000000000000163	1.105062281329764e-006	1.079877222256824e-009
0.00088000000000000166	1.1049499278248372e-006	1.0919751820842203e-009
0.00089000000000000168	1.1295212713420426e-006	1.1040593776262238e-009
0.00090000000000000171	1.129391813272845e-006	1.1161355263552284e-009
0.00091000000000000174	1.1539359144584173e-006	1.1281976990406032e-009
0.00092000000000000176	1.1537888676462798e-006	1.1402518249129792e-009
0.00093000000000000179	1.1783052467329524e-006	1.1522917629834886e-009
0.00094000000000000182	1.1781401278873847e-006	1.1643232307245255e-009
0.00095000000000000184	1.2026283060082127e-006	1.1763400871472223e-009
0.00096000000000000187	1.2024446327511884e-006	1.1883482614822097e-009
0.00097000000000000189	1.226904131944751e-006	1.2003422480153306e-009
0.00098000000000000192	1.226701422834995e-006	1.2123269171860317e-009
0.00099000000000000195	1.2511317660905006e-006	1.2242967632801558e-009
0.001000000000000002	1.250909540621754e-006	1.2362570802536233e-009
0.001010000000000002	1.2753102518686318e-006	1.2482032094252244e-009
0.001020000000000002	1.2750680305112843e-006	1.2601393859596952e-009
0.0010300000000000021	1.2994386346660199e-006	1.2720603159011154e-009
0.0010400000000000021	1.2991759388619064e-006	1.2839712932054053e-009
0.0010500000000000021	1.3235159618349834e-006	1.2958668121584079e-009
0.0010600000000000021	1.3232323140390175e-006	1.3077525902325171e-009
0.0010700000000000022	1.3475412827453232e-006	1.319622698197102e-009
0.0010800000000000022	1.3472362064324366e-006	1.3314824300080831e-009
0.0010900000000000022	1.3715136488207543e-006	1.3433260681930664e-009
0.0011000000000000022	1.3711866685119156e-006	1.3551593302244458e-009
0.0011100000000000023	1.3954321135735965e-006	1.3669767103880641e-009
0.0011200000000000023	1.3950827548462224e-006	1.3787828673651314e-009
0.0011300000000000023	1.419295732651616e-006	1.3905731424744376e-009
0.0011400000000000023	1.4189235221586502e-006	1.4023519826389559e-009
