Time	Vs	Vr	Ir
1.0000000000000001e-005	0.69114918929774627	0.69114797978739528	0.057595665015064412
2.0000000000000002e-005	1.3822915572320222	1.3822891382232574	0.11519076181798482
3.0000000000000004e-005	2.0734202825066821	2.0734166540233785	0.1727847211974165
4.0000000000000003e-005	2.764528543960227	2.764523706038196	0.23037697571837157
5.0000000000000002e-005	3.4556095206331277	3.4556034733201182	0.28796695605848299
6.0000000000000002e-005	4.1466563918351467	4.1466491351908434	0.34555409467174059
7.0000000000000007e-005	4.8376623372126515	4.8376538713086727	0.40313782267986653
8.0000000000000007e-005	5.5286205368159314	5.5286108617358352	0.46071757253685064
9.0000000000000006e-005	6.2195241711665057	6.2195132870057783	0.51829277403214746
0.0001	6.9103664213244338	6.9103543281904987	0.57586286139610365
0.00011	7.601140468955613	7.6011271669678244	0.63342726352999534
0.00012	8.2918394963990689	8.2918249856887112	0.69098541644052602
0.00013000000000000002	8.9824566867342455	8.9824409674445356	0.74853674725261499
0.00014000000000000001	9.6729852238482881	9.6729682961343677	0.80608069197296572
0.00015000000000000001	10.363418292503313	10.363400156532252	0.86361667861467595
0.00016000000000000001	11.053749078403673	11.053729734354466	0.92114414584898441
0.00017000000000000001	11.743970768263209	11.743950216326773	0.97866251813627514
0.00018000000000000001	12.434076549872493	12.434054790251672	1.0361712305950732
0.00019000000000000001	13.124059612166066	13.124036645075613	1.0936697218966174
0.00020000000000000001	13.813913145289671	13.813888970956263	1.1511574147249348
0.00021000000000000001	14.503630340667433	14.503604959329662	1.2086337459749075
0.00022000000000000001	15.193204391069083	15.193177802977452	1.2660981507650604
0.00023000000000000001	15.882628490677138	15.882600696094062	1.3235500588848481
0.00024000000000000001	16.571895835154066	16.57186683435387	1.3809889019000821
0.00025000000000000001	17.260999621709448	17.260969414978348	1.4384141167056441
0.00026000000000000003	17.949933049167111	17.94990163680324	1.4958251384200594
0.00027000000000000006	18.638689318032263	18.638656700345649	1.5532213950564255
0.00028000000000000008	19.327261630558588	19.327227807871154	1.6106023146278403
0.00029000000000000011	20.015643190815343	20.015608163460911	1.6679673464636835
0.00030000000000000014	20.703827204754457	20.703790973078725	1.7253159150243391
0.00031000000000000016	21.391806880277532	21.391769444638093	1.7826474554283323
0.00032000000000000019	22.079575427302913	22.079536788069248	1.839961402794188
0.00033000000000000022	22.767126057832719	22.767086215386175	1.897257185135004
0.00034000000000000024	23.454451986019794	23.454410940753604	1.9545342482274464
0.00035000000000000027	24.141546428234712	24.141504180553973	2.0117920165318992
0.00036000000000000029	24.828402603132719	24.8283591534544	2.0690299287196012
0.00037000000000000032	25.515013731720657	25.514969080473591	2.1262474234617912
0.00038000000000000035	26.20137303742391	26.201327185048775	2.1834439323242805
0.00039000000000000037	26.887473746153187	26.88742669310254	2.2406188975310215
0.0004000000000000004	27.573309086371509	27.573260833109746	2.297771736436971
0.00041000000000000042	28.258872289160941	28.258822836164295	2.354901905476936
0.00042000000000000045	28.944156588289449	28.944105936046004	2.4120088291113007
0.00043000000000000048	29.629155220277664	29.629103369287336	2.4690919460113037
0.0004400000000000005	30.313861424465625	30.313808375240164	2.5261506984008975
0.00045000000000000053	30.998268443079521	30.998214196142502	2.5831845178458934
0.00046000000000000056	31.682369521298398	31.682314077185211	2.6401928394648166
0.00047000000000000058	32.36615790732079	32.366101266578653	2.6971751054816195
0.00048000000000000061	33.049626852431388	33.049569015619312	2.7541307474621135
0.00049000000000000063	33.732769611067624	33.732710578756446	2.811059218288392
0.00050000000000000066	34.415579440886262	34.415519213658598	2.8679599353154117
0.00051000000000000069	35.098049602829946	35.097988181280229	2.9248323585306935
0.00052000000000000071	35.780173361193718	35.780110745928148	2.9816758981837665
0.00053000000000000074	36.461943983691448	36.461880175328005	3.0384900213675792
0.00054000000000000077	37.143354741522344	37.14328974069079	3.095274145437088
0.00055000000000000079	37.824398909437313	37.824332716779196	3.1520277303798139
0.00056000000000000082	38.505069765805388	38.505002381973981	3.2087502077615682
0.00057000000000000084	39.185360592679991	39.185292018340363	3.2654410020427349
0.00058000000000000087	39.865264675865319	39.86519491169426	3.3220995803162623
0.0005900000000000009	40.544775304982551	40.544704351668607	3.3787253741479617
0.00060000000000000092	41.223885773536097	41.223813631779556	3.4353178008927898
0.00061000000000000095	41.902589378979833	41.902516049492696	3.4918763418545495
0.00062000000000000098	42.580879422783156	42.58080490628916	3.5484004072827702
0.000630000000000001	43.258749210497164	43.258673507731757	3.6048894571649726
0.00064000000000000103	43.936192051820733	43.93611516353107	3.6613429301723954
0.00065000000000000105	44.613201260666514	44.61312318761145	3.7177602649762775
0.00066000000000000108	45.289770155226925	45.289690898177007	3.774140907353285
0.00067000000000000111	45.965892058040119	45.96581161777759	3.8304843030800839
0.00068000000000000113	46.641560296055893	46.641478673374664	3.8867898837224857
0.00069000000000000116	47.316768200701489	47.316685396407138	3.9430571163734385
0.00070000000000000119	47.991509107947515	47.991425122857287	3.9992854254933263
0.00071000000000000121	48.665776358373598	48.665691193316391	4.0554742710696701
0.00072000000000000124	49.339563297234172	49.339476953050543	4.1116230917737084
0.00073000000000000126	50.012863274524207	50.012775752066318	4.1677313262766802
0.00074000000000000129	50.685669645044733	50.685580945176412	4.2237984132498241
0.00075000000000000132	51.357975768468485	51.357885892065163	4.2798238197860883
0.00076000000000000134	52.029775009405462	52.029683957354173	4.3358069987675663
0.00077000000000000137	52.701060737468367	52.700968510667764	4.3917473817600694
0.0007800000000000014	53.371826327338077	53.371732926698392	4.4476444145402638
0.00079000000000000142	54.042065158828997	54.041970585272082	4.503497549990243
